brand_id,brand_name,brand_maker,brand_active,brand_sts
,AMG,29,1,1
,190 SERIES,29,1,1
,CCLASS,29,1,1
,CLK,29,1,1
,ECLASS,29,1,1
,GCCLASS,29,1,1
,MCLASS,29,1,1
,MEDIUM CLASS,29,1,1
,SCLASS,29,1,1
,SL,29,1,1
,SL500,29,1,1
,SL600,29,1,1
,SLK,29,1,1
,AUDI,30,1,1
,100 AVANT,30,1,1
,80 AVANT,30,1,1
,,30,1,1
,A1,30,1,1
,A1 SPORTBACK,30,1,1
,A3,30,1,1
,A3 SEDAN,30,1,1
,A3 SPORTBACK ETRON,30,1,1
,A4,30,1,1
,A4 ALLROAD QUATTRO,30,1,1
,A4 AVANT,30,1,1
,A4 CABRIOLET,30,1,1
,A5,30,1,1
,A5 CABRIOLET,30,1,1
,A5 SPORTBACK,30,1,1
,A6,30,1,1
,A6 ALLROAD QUATTRO,30,1,1
,A6 AVANT,30,1,1
,A6 HYBRID,30,1,1
,A7 SPORTBACK,30,1,1
,A8,30,1,1
,A8 HYBRID,30,1,1
,ALLROAD QUATTRO,30,1,1
,,30,1,1
,CABRIOLET,30,1,1
,COUPE,30,1,1
,,30,1,1
,Q2,30,1,1
,Q3,30,1,1
,Q5,30,1,1
,Q5 HYBRID,30,1,1
,Q7,30,1,1
,,30,1,1
,R8,30,1,1
,R8 SPYDER,30,1,1
,RS Q3,30,1,1
,RS Q3 PERFORMANCE,30,1,1
,RS3,30,1,1
,RS3 SPORTBACK,30,1,1
,RS4,30,1,1
,RS4 AVANT,30,1,1
,RS5,30,1,1
,RS5 CABRIOLET,30,1,1
,RS6,30,1,1
,RS6 AVANT,30,1,1
,RS6 AVANT PERFORMANCE,30,1,1
,RS7 SPORTBACK,30,1,1
,RS7 SPORTBACK PERFORMANCE,30,1,1
,S,30,1,1
,S1,30,1,1
,S1 SPORTBACK,30,1,1
,S3,30,1,1
,S3 SEDAN,30,1,1
,S4,30,1,1
,S4 AVANT,30,1,1
,S5,30,1,1
,S5 CABRIOLET,30,1,1
,S5 SPORTBACK,30,1,1
,S6,30,1,1
,S6AVANT,30,1,1
,S7 SPORTBACK,30,1,1
,S8,30,1,1
,S8 PLUS,30,1,1
,SQ5,30,1,1
,T,30,1,1
,TT COUPE,30,1,1
,TT ROADSTER,30,1,1
,TT RS COUPE,30,1,1
,TT RS PLUS COUPE,30,1,1
,TT RS ROADSTER,30,1,1
,TTS COUPE,30,1,1
,V,30,1,1
,V8,30,1,1
,BMW,31,1,1
,1 SERIES,31,1,1
,2 SERIES,31,1,1
,3 SERIES,31,1,1
,4 SERIES,31,1,1
,5 SERIES,31,1,1
,6 SERIES,31,1,1
,7 SERIES,31,1,1
,8 SERIES,31,1,1
,i,31,1,1
,i3,31,1,1
,i8,31,1,1
,M,31,1,1
,M COUPE,31,1,1
,M ROADSTER,31,1,1
,M2,31,1,1
,M3,31,1,1
,M4,31,1,1
,M5,31,1,1
,M6,31,1,1
,X,31,1,1
,X1,31,1,1
,X2,31,1,1
,X3,31,1,1
,X4,31,1,1
,X5,31,1,1
,X5 M,31,1,1
,X6,31,1,1
,X6 M,31,1,1
,X7,31,1,1
,Z,31,1,1
,Z3 COUPE,31,1,1
,Z3 ROADSTER,31,1,1
,Z4,31,1,1
,Z8,31,1,1
,BMW ALPINA,32,1,1
,B,32,1,1
,B10,32,1,1
,B12,32,1,1
,B3,32,1,1
,B4,32,1,1
,B5,32,1,1
,B6,32,1,1
,B7,32,1,1
,B8,32,1,1
,D,32,1,1
,D3,32,1,1
,D4,32,1,1
,D5,32,1,1
,R,32,1,1
,ROADSTER S,32,1,1
,ROADSTER V8,32,1,1
,X,32,1,1
,XD3,32,1,1
,DONKERVOORT,33,1,1
,D8 SPORTS,33,1,1
